,id,x,y,CRI_v2.0.r1,all,MCM_v3.2,MCM_v3.1,MCM_v3.3.1,CRI_v2.0.r2,CRI_v2.0.r3,CRI_v2.0.r4,CRI_v2.0.r5,CRI_v2.2,rxns
4291,C4MCONO3O2,-0.1477865420977742,-0.46833839409780553,False,True,True,True,True,False,False,False,False,False,False
4292,C5CONO3OOH,-0.1589483043452138,-0.478182492922932,False,True,True,True,True,False,False,False,False,False,False
4293,BCKBCO,-0.32625219094346614,-0.4896894184707594,False,True,True,False,True,False,False,False,False,False,False
4294,HOCH2CO2H,-0.19703797685456992,-0.2639147949461773,False,True,True,True,True,False,False,False,False,False,False
4295,HMGLOOA,-0.24019675136377572,-0.26423730038170823,False,True,True,True,True,False,False,False,False,False,False
4296,EOX2OLBNO3,0.635159144131076,-0.45129780042451184,False,True,True,True,True,False,False,False,False,False,False
4297,DNMETOL,-0.18514609287073325,0.9516599550772027,False,True,True,True,True,False,False,False,False,False,False
4298,ACCOCOEOOH,0.14072232336258295,-0.03903690927995729,False,True,True,True,True,False,False,False,False,False,False
4299,ACCOCOETO2,0.15656621802983328,-0.029966395912539023,False,True,True,True,True,False,False,False,False,False,False
4300,C53NO32OOH,0.32110498088022177,0.03248412154748337,False,True,True,True,True,False,False,False,False,False,False
4301,C521OH,-0.11311332755731696,-0.3455757803906395,False,True,True,False,True,False,False,False,False,False,False
4302,TCEOHO,0.5548396669725453,0.2935752074840696,False,True,True,True,True,False,False,False,False,False,False
4303,C6IPRCO4DB,-0.11605054058644171,-0.09677143282500933,False,True,True,True,True,False,False,False,False,False,False
4304,HM23C4NO3,0.7071176757029538,-0.1829106839941923,False,True,True,True,True,False,False,False,False,False,False
4305,BRETPAN,-0.17125066405587486,-0.14252004712053634,False,True,True,True,True,False,False,False,False,False,False
4306,CH2CLCH2OH,0.3012345237466727,0.14481567029429931,False,True,True,True,True,False,False,False,False,False,False
4307,CLETAL,0.28462488671222674,0.13166841609045998,False,True,True,True,True,False,False,False,False,False,False
4308,TM135MUNO3,-0.004307804983291641,0.26737116091605473,False,True,True,True,True,False,False,False,False,False,False
4309,IPEBO2,0.44727292267102214,-0.42313444708615267,False,True,True,True,True,False,False,False,False,False,False
4310,C5PAN16,0.1875957629722269,0.005992536152435557,False,True,True,True,True,False,False,False,False,False,False
4311,CARB28,0.7964796321406571,-0.18847850664324473,True,True,False,False,False,True,True,False,False,True,False
4312,C6H5CO3H,-0.5693886852107131,0.4045140720400664,False,True,True,True,True,False,False,False,False,False,False
4313,C6H5O2,-0.5485119886263788,0.39463144061453326,False,True,True,True,True,False,False,False,False,False,False
4314,TLFUO,0.19770944887540276,0.2068709869082177,False,True,True,True,True,False,False,False,False,False,False
4315,TLFUOH,0.19025344657070176,0.23448884844791973,False,True,True,True,True,False,False,False,False,False,False
4316,PETOLO2,-0.08645134323027892,0.6211474728038393,False,True,True,True,True,False,False,False,False,False,False
4317,PETOLOH,-0.08219982433709061,0.6025617218542472,False,True,True,True,True,False,False,False,False,False,False
4318,OXYMUCOOH,-0.323848246513732,0.46725760299479213,False,True,True,True,True,False,False,False,False,False,False
4319,C916NO3,-0.06775434301360594,-0.6869978776616592,False,True,True,True,True,False,False,False,False,False,False
4320,C8CO2DBPAN,-0.02073329463252027,-0.03854980749133541,False,True,True,True,True,False,False,False,False,False,False
4321,EIPKAO,0.5944920500939408,-0.3571056045232245,False,True,True,True,True,False,False,False,False,False,False
