,id,x,y,z,rxns,all,MCM_v3.3.1,MCM_v3.1,MCM_v3.2,CRI_v2.0.r5,CRI_v2.0.r4,CRI_v2.0.r1,CRI_v2.0.r3,CRI_v2.0.r2,CRI_v2.2
109,BCALBOH,0.49285215334499854,0.27193539335695016,0.016479964451324713,False,True,True,False,True,False,False,False,False,False,False
110,BCALBOOH,0.3243847503383155,0.4719827435025079,0.08511327556673609,False,True,True,False,True,False,False,False,False,False,False
111,BCALCCO,0.3600656573690484,0.36356362456595726,0.07748751137772625,False,True,True,False,True,False,False,False,False,False,False
112,BCALCO,0.26259996726353063,0.3855165550138546,0.15957867175050944,False,True,True,False,True,False,False,False,False,False,False
113,BCALCO2,0.25563447657382876,0.388215951737926,0.161503747183938,False,True,True,False,True,False,False,False,False,False,False
114,BCALCOH,0.3549500077230403,0.3614867945705167,0.09325315769229858,False,True,True,False,True,False,False,False,False,False,False
115,BCALCOOH,0.25810492729967915,0.37689269054049324,0.16148654621208314,False,True,True,False,True,False,False,False,False,False,False
116,BCALNO3,0.20831321884790688,0.7547218617375753,0.40658940563475165,False,True,True,False,True,False,False,False,False,False,False
117,BCALO,0.1718129779351587,0.7318885693241206,0.24622808966484389,False,True,True,False,True,False,False,False,False,False,False
118,BCALO2,0.1708502490968653,0.7312791554137004,0.25324560837687327,False,True,True,False,True,False,False,False,False,False,False
119,BCALOH,0.1620644262933788,0.7234619971239173,0.25352799099815804,False,True,True,False,True,False,False,False,False,False,False
120,BCALOO,0.21519110490194038,0.7660201325804079,0.39917817578915415,False,True,True,False,True,False,False,False,False,False,False
121,BCALOOA,0.21909227765136596,0.7793000947002913,0.39826939110948656,False,True,True,False,True,False,False,False,False,False,False
122,BCALOOH,0.17708262730913127,0.7279997194065451,0.25384381995360505,False,True,True,False,True,False,False,False,False,False,False
123,BCANO3,0.2943045459889757,0.6100277086036969,0.2266309268695903,False,True,True,False,True,False,False,False,False,False,False
124,BCAO,0.4358307570654292,0.802365753568798,0.17928334061985618,False,True,True,False,True,False,False,False,False,False,False
125,BCAO2,0.43622267254078806,0.7961795447371194,0.17817483354476193,False,True,True,False,True,False,False,False,False,False,False
126,BCAOH,0.5804014597698766,0.6034819894075973,0.4106612579166278,False,True,True,False,True,False,False,False,False,False,False
127,BCAOO,0.2998757397404599,0.6082915365999091,0.2172788540330306,False,True,True,False,True,False,False,False,False,False,False
128,BCAOOH,0.43325333646865705,0.7977754200133282,0.1709308353699761,False,True,True,False,True,False,False,False,False,False,False
129,BCARY,0.292494818646877,0.6098479534214867,0.20940845379986195,False,True,True,False,True,False,False,False,False,False,False
130,BCBCO,0.5851782177989564,0.5993388516712848,0.41588366409368804,False,True,True,False,True,False,False,False,False,False,False
131,BCBNO3,0.5883227631424244,0.5987995861246538,0.4042357393192715,False,True,True,False,True,False,False,False,False,False,False
132,BCBO,0.5757445817685531,0.5967258251201291,0.39621578619191977,False,True,True,False,True,False,False,False,False,False,False
133,BCBO2,0.5822780432813006,0.5988346603065484,0.3946810772586429,False,True,True,False,True,False,False,False,False,False,False
134,BCBOCOO,0.16652211901781366,0.5160315316895234,-0.4855882135118412,False,True,True,False,True,False,False,False,False,False,False
135,BCBOO,0.2963134586079623,0.5996369822173897,0.2114754372510934,False,True,True,False,True,False,False,False,False,False,False
